1207,1
1020,0
384,1
296,0
1093,1
326,0
1064,1
325,0
1064,1
325,0
10760,1
1035,0
384,1
325,0
1064,1
325,0
1065,1
325,0
1064,1
325,0
1064,1
1035,0
355,1
1034,0
384,1
296,0
1123,1
266,0
1094,1
1005,0
414,1
975,0
414,1
1005,0
385,1
1010,0
385,1
325,0
1093,1
296,0
1064,1
1005,0
414,1
1005,0
384,1
1005,0
385,1
1005,0
414,1
975,0
384,1
1035,0
414,1
266,0
1094,1
295,0
1094,1
325,0
1064,1
325,0
10760,1
1035,0
384,1
325,0
1064,1
326,0
1064,1
325,0
1064,1
325,0
1064,1
1035,0
384,1
1005,0
385,1
295,0
1094,1
325,0
1064,1
1005,0
414,1
976,0
384,1
1034,0
385,1
1005,0
384,1
325,0
1094,1
296,0
1093,1
1005,0
355,1
1035,0
384,1
1005,0
384,1
1035,0
355,1
1034,0
384,1
1005,0
414,1
266,0
1094,1
325,0
1094,1
296,0
1093,1
296,0
10812,1
1005,0
384,1
296,0
1064,1
325,0
1065,1
325,0
1064,1
325,0
1064,1
1035,0
384,1
1005,0
384,1
326,0
1093,1
296,0
1094,1
1005,0
384,1
1005,0
384,1
1005,0
385,1
1034,0
355,1
325,0
1094,1
295,0
1094,1
1005,0
414,1
975,0
414,1
1005,0
355,1
1035,0
384,1
1005,0
414,1
975,0
385,1
325,0
1093,1
296,0
1094,1
295,0
1124,1
266,0
10789,1
1035,0
384,1
296,0
1093,1
296,0
1094,1
325,0
1064,1
325,0
1064,1
1005,0
385,1
1034,0
355,1
325,0
1094,1
314,0
1065,1
1005,0
384,1
1034,0
385,1
1005,0
414,1
975,0
414,1
296,0
1093,1
296,0
1064,1
1035,0
384,1
1005,0
384,1
1005,0
414,1
976,0
413,1
1005,0
414,1
976,0
414,1
295,0
1094,1
296,0
1093,1
296,0
1064,1
325,0
10790,1
1005,0
413,1
296,0
1064,1
325,0
1065,1
325,0
1064,1
325,0
1094,1
1005,0
384,1
1005,0
384,1
326,0
1064,1
325,0
1064,1
1035,0
384,1
1005,0
384,1
1005,0
414,1
976,0
413,1
296,0
1094,1
295,0
1064,1
1035,0
384,1
1005,0
385,1
1034,0
385,1
1005,0
384,1
1005,0
414,1
975,0
385,1
325,0
1083,1
295,0
1094,1
325,0
1094,1
296,0
10789,1
1005,0
384,1
296,0
1094,1
325,0
1064,1
325,0
1064,1
325,0
1065,1
1034,0
384,1
1006,0
384,1
295,0
1094,1
325,0
1064,1
1005,0
414,1
1005,0
385,1
1005,0
384,1
1005,0
414,1
295,0
1094,1
296,0
1093,1
976,0
384,1
1035,0
414,1
975,0
384,1
1005,0
